source,target,dist
AFG,AFG,303.7614
AFG,AGO,7607.8
AFG,ALB,4342.117
AFG,ARE,1813.615
AFG,ARG,15298.5
AFG,ARM,2266.15
AFG,AUS,11433.49
AFG,AUT,4568.098
AFG,AZE,1822.217
AFG,BDI,5930.057
AFG,BEL,5416.121
AFG,BEN,7481.006
AFG,BFA,7497.595
AFG,BGD,2376.978
AFG,BGR,4043.005
AFG,BHR,2004.434
AFG,BIH,4428.614
AFG,BLR,3880.9
AFG,BOL,15349.95
AFG,BRA,13771.76
AFG,BWA,8023.767
AFG,CAF,6188.315
AFG,CAN,10768.89
AFG,CHE,5247.043
AFG,CHL,16353.9
AFG,CHN,4180.438
AFG,CMR,6842.123
AFG,COG,7100.583
AFG,COL,14288.69
AFG,COM,5824.411
AFG,CRI,14334.57
AFG,CYP,3257.972
AFG,CZE,4708.024
AFG,DEU,5226.514
AFG,DNK,4857.692
AFG,DOM,12709.28
AFG,DZA,5866.736
AFG,ECU,14950.6
AFG,EGY,3584.319
AFG,ESP,6290.493
AFG,EST,4238.918
AFG,ETH,4196.206
AFG,FIN,4254.794
AFG,FRA,5590.381
AFG,GAB,7263.688
AFG,GBR,5718.078
AFG,GEO,2270.991
AFG,GHA,7786.48
AFG,GIN,8955.442
AFG,GRC,4058.47
AFG,GTM,14157.62
AFG,HND,14078.02
AFG,HRV,4608.2
AFG,HTI,12861.0
AFG,HUN,4367.694
AFG,IDN,6000.786
AFG,IND,1003.893
AFG,IRL,6085.926
AFG,IRN,1620.826
AFG,IRQ,2285.353
AFG,ISL,6658.555
AFG,ISR,3199.193
AFG,ITA,4935.994
AFG,JAM,13173.26
AFG,JOR,3096.229
AFG,JPN,6278.016
AFG,KAZ,1180.169
AFG,KEN,5221.581
AFG,KGZ,1043.715
AFG,KHM,4421.175
AFG,KOR,5131.888
AFG,KWT,2079.553
AFG,LBN,3088.869
AFG,LBR,8699.117
AFG,LBY,5133.119
AFG,LKA,3261.061
AFG,LSO,8347.427
AFG,LTU,4042.829
AFG,LUX,5304.336
AFG,LVA,4186.274
AFG,MAR,6811.536
AFG,MDA,3626.967
AFG,MDG,6370.142
AFG,MEX,13906.07
AFG,MKD,4198.337
AFG,MLI,8056.615
AFG,MLT,4906.982
AFG,MMR,3330.212
AFG,MNG,3443.545
AFG,MOZ,7760.658
AFG,MRT,8455.042
AFG,MUS,6210.945
AFG,MWI,6565.831
AFG,MYS,4846.316
AFG,NER,7082.385
AFG,NGA,7391.676
AFG,NIC,14235.58
AFG,NLD,5361.4
AFG,NOR,5014.602
AFG,NPL,1710.066
AFG,NZL,13762.0
AFG,OMN,1587.942
AFG,PAK,374.6522
AFG,PAN,14179.02
AFG,PER,15811.19
AFG,PHL,5617.854
AFG,POL,4267.977
AFG,PRT,6791.342
AFG,PRY,14862.55
AFG,QAT,1987.925
AFG,RUS,3367.526
AFG,RWA,5755.222
AFG,SAU,2425.437
AFG,SDN,4222.921
AFG,SEN,8799.582
AFG,SGP,5157.892
AFG,SLE,8795.566
AFG,SUR,12679.81
AFG,SVK,4508.77
AFG,SVN,4719.426
AFG,SWE,4597.182
AFG,SWZ,7872.171
AFG,TCD,5989.595
AFG,TGO,7601.833
AFG,THA,3903.415
AFG,TJK,459.2474
AFG,TKM,1042.731
AFG,TTO,12807.0
AFG,TUN,5252.618
AFG,TUR,3581.608
AFG,TZA,5574.784
